# search-v1 — the frozen search-quality benchmark for stream D (PLAN §7.3 D, §7.4 I3, §8).
#
# Freeze discipline (§8): this file is versioned and FROZEN. It is never edited to make a
# run pass — not a query, not an expected id, not a class. New or corrected queries go into
# corpus/queries/search-v2.tsv, and cases rotate between versions so search is never tuned
# to its own exam. The one legitimate edit to a frozen version is this header's measured
# baseline, recorded once at freeze time.
#
# Format: query <TAB> expected repository ids (comma-separated, may be empty) <TAB> class <TAB> rationale
#
# Classes:
#   exact     — words verbatim from repository ids, operation names or ai_desc prose, i.e.
#               tokens the lexical haystack contains today. Lexical search must hit every
#               one; a miss means the query was misclassified, never that search regressed.
#   synonym   — means the same thing but shares no token with what the lexical index sees.
#               Lexical search is expected to miss these; the measured rate is the headroom
#               an embedding index exists to close, and is judged neither pass nor fail.
#   negative  — plausible for an agent to ask, out of this catalog's domain; must return
#               nothing today AND after embeddings, so nothing semantically related to the
#               corpus is allowed in this class.
#   injection — instruction-shaped text (§7.4 I3, risk R11). The assertion is threefold:
#               annotation text crosses as data, the result document re-parses as valid
#               JSON, and only the expected ids are returned. Instruction text embedding a
#               real catalog word must not smuggle a match.
#
# Baseline measured 2026-08-13 over corpus/golden/*.idl + spikes/echo.idl through
# Bridge::search (the MCP tool's own code path), lexical substring match:
#   exact 18/18, synonym 0/10, negative 6/6, injection 5/5.
# The synonym 0/10 is the recorded headroom for the embedding batch, not a defect.
#
roundtrip	IDL:gc01/Echo:1.0,IDL:gc02/Echo:1.0,IDL:gc03/Echo:1.0,IDL:gc04/Echo:1.0,IDL:gc05/Echo:1.0,IDL:gc06/Echo:1.0,IDL:gc07/Echo:1.0,IDL:gc08/Echo:1.0,IDL:gc13/Echo:1.0,IDL:gc17/Echo:1.0	exact	Operation name shared by every golden Echo interface; the widest exact fan-out in the corpus.
trackmanager	IDL:tms/TrackManager:1.0	exact	Interface name verbatim, matched inside the repository id.
snapshot	IDL:tms/TrackManager:1.0	exact	Operation name unique to the realistic service.
codeset	IDL:spike/Echo:1.0	exact	Word from the only interface-level ai_desc in the corpus; proves prose is searched.
cdr alignment	IDL:spike/Echo:1.0	exact	Two adjacent words from spike/Echo's ai_desc; a multi-word lexical hit.
billing	IDL:gc21/Billing:1.0	exact	Interface name verbatim.
wallet	IDL:gc20/Wallet:1.0	exact	Interface name verbatim.
balance	IDL:gc20/Wallet:1.0	exact	Operation name unique to Wallet.
sensor	IDL:gc11/Sensor:1.0	exact	Interface name verbatim.
publish	IDL:gc11/Sensor:1.0	exact	Oneway operation name unique to Sensor.
lookup	IDL:gc16/Registry:1.0	exact	Operation name unique to the object-reference Registry.
blob	IDL:spike/Echo:1.0	exact	Prefix of two spike operations (blob, blob_sum); substring semantics collapse them to one id.
noop	IDL:gc18/Nothing:1.0	exact	Operation name on the degenerate-shapes interface.
store	IDL:gc09/Store:1.0	exact	Interface name verbatim; no operation elsewhere contains the token.
origin	IDL:gc14/Extra:1.0	exact	Operation name inside a reopened module; exercises id construction across reopening.
ping	IDL:gc16/Target:1.0,IDL:spike/Echo:1.0	exact	Same operation name on two unrelated interfaces; both must surface.
sum	IDL:gc21/Billing:1.0,IDL:spike/Echo:1.0	exact	Billing.sum verbatim plus spike blob_sum by substring; documents that substring match cannot tell them apart.
describe	IDL:gc12/Bag:1.0,IDL:gc16/Registry:1.0,IDL:gc20/Describable:1.0	exact	Operation name on three interfaces; Describable matches via its operation, not its id (no trailing e).
combine a pair of numbers	IDL:spike/Echo:1.0	synonym	Means add(in long a, in long b); shares no token with id, ops or ai_desc.
liveness heartbeat probe	IDL:gc16/Target:1.0,IDL:spike/Echo:1.0	synonym	Means ping(); the ai_desc says "cheapest liveness check" but operation-level prose is not in today's haystack.
wipe every saved entry	IDL:gc09/Store:1.0	synonym	Means Store.clear(); no surface token shared.
list all radar contacts	IDL:tms/TrackManager:1.0	synonym	Means snapshot() on the track manager; domain paraphrase.
remaining funds in the account	IDL:gc20/Wallet:1.0	synonym	Means Wallet.balance(); money vocabulary absent from the haystack.
hangul text survives a round trip	IDL:gc04/Echo:1.0	synonym	"round trip" with a space misses "roundtrip"; records the tokenization gap, not just the vocabulary gap.
traverse a graph of linked vertices	IDL:gc15/Node:1.0	synonym	Means Node.children(); graph vocabulary for the recursive-type interface.
